HEXOSKINTIME,VALUE
372177951389,108
372177951645,107
372177951901,107
372177952157,107
372177952413,107
372177952669,107
372177952925,108
372177953181,108
372177953437,108
372177953693,107
372177953949,106
372177954205,106
372177954461,105
372177954717,106
372177954973,106
372177955229,107
372177955485,108
372177955741,110
372177955997,111
372177956253,112
372177956509,111
372177956765,111
372177957021,111
372177957277,110
372177957533,109
372177957789,109
372177958045,108
372177958301,107
372177958557,107
372177958813,105
372177959069,104
372177959325,104
372177959581,103
372177959837,103
372177960093,102
372177960349,101
372177960605,100
372177960861,99
372177961117,99
372177961373,99
372177961629,98
372177961885,98
372177962141,97
372177962397,97
372177962653,98
372177962909,98
372177963165,98
372177963421,99
372177963677,99
372177963933,99
372177964189,98
372177964445,97
372177964701,97
372177964957,95
372177965213,94
372177965469,92
372177965725,91
372177965981,90
372177966237,90
372177966493,90
372177966749,90
372177967005,90
372177967261,91
372177967517,92
372177967773,94
372177968029,96
372177968285,96
372177968541,96
372177968797,98
372177969053,99
372177969309,100
372177969565,102
372177969821,104
372177970077,105
372177970333,106
372177970589,106
372177970845,105
372177971101,105
372177971357,105
372177971613,105
372177971869,106
372177972125,106
372177972381,106
372177972637,105
372177972893,105
372177973149,106
372177973405,106
372177973661,107
372177973917,106
372177974173,107
372177974429,107
372177974685,107
372177974941,107
372177975197,106
372177975453,106
372177975709,107
372177975965,107
372177976221,107
372177976477,107
372177976733,108
372177976989,108
372177977245,106
372177977501,105
372177977757,105
372177978013,105
372177978269,105
372177978525,105
372177978781,104
372177979037,103
372177979293,102
372177979549,100
372177979805,99
372177980061,96
372177980317,94
372177980573,91
372177980829,89
372177981085,87
372177981341,87
372177981597,86
372177981853,86
372177982109,85
372177982365,85
372177982621,84
372177982877,84
372177983133,86
372177983389,88
372177983645,90
372177983901,92
372177984157,94
372177984413,96
372177984669,97
372177984925,100
372177985181,102
372177985437,103
372177985693,103
372177985949,103
372177986205,103
372177986461,103
372177986717,103
372177986973,102
372177987229,102
372177987485,102
372177987741,102
372177987997,103
372177988253,104
372177988509,105
372177988765,105
372177989021,104
372177989277,104
372177989533,104
372177989789,104
372177990045,103
372177990301,103
372177990557,102
372177990813,101
372177991069,100
372177991325,99
372177991581,98
372177991837,98
372177992093,98
372177992349,98
372177992605,97
372177992861,97
372177993117,95
372177993373,94
372177993629,93
372177993885,92
372177994141,92
372177994397,92
372177994653,91
372177994909,91
372177995165,92
372177995421,92
372177995677,92
372177995933,92
372177996189,93
372177996445,93
372177996701,94
372177996957,96
372177997213,97
372177997469,97
372177997725,98
372177997981,97
372177998237,98
372177998493,98
372177998749,99
372177999005,99
372177999261,98
372177999517,98
372177999773,97
372178000029,96
372178000285,95
372178000541,95
372178000797,94
372178001053,93
372178001309,93
372178001565,92
372178001821,93
372178002077,93
372178002333,93
372178002589,94
372178002845,95
372178003101,95
372178003357,94
372178003613,93
372178003869,93
372178004125,93
372178004381,92
372178004637,92
372178004893,91
372178005149,90
372178005405,90
372178005661,89
372178005917,89
372178006173,89
372178006429,91
372178006685,91
372178006941,93
372178007197,93
372178007453,93
372178007709,94
372178007965,94
372178008221,94
372178008477,94
372178008733,93
372178008989,93
372178009245,93
372178009501,93
372178009757,94
372178010013,95
372178010269,95
372178010525,96
372178010781,96
372178011037,97
372178011293,97
372178011549,98
372178011805,99
372178012061,100
372178012317,100
372178012573,99
372178012829,98
372178013085,98
372178013341,97
372178013597,96
372178013853,94
372178014109,93
372178014365,92
372178014621,91
372178014877,90
372178015133,90
372178015389,89
372178015645,88
372178015901,88
372178016157,90
372178016413,91
372178016669,94
372178016925,96
372178017181,96
372178017437,97
372178017693,97
372178017949,96
372178018205,96
372178018461,97
372178018717,96
372178018973,96
372178019229,95
372178019485,96
372178019741,96
372178019997,96
372178020253,96
372178020509,97
372178020765,99
372178021021,99
372178021277,100
372178021533,100
372178021789,100
372178022045,100
372178022301,100
372178022557,98
372178022813,98
372178023069,97
372178023325,97
372178023581,97
372178023837,95
372178024093,95
372178024349,95
372178024605,96
372178024861,97
372178025117,99
372178025373,98
372178025629,98
372178025885,98
372178026141,98
372178026397,97
372178026653,96
372178026909,96
372178027165,96
372178027421,96
372178027677,95
372178027933,96
372178028189,96
372178028445,96
372178028701,96
372178028957,97
372178029213,98
372178029469,98
372178029725,98
372178029981,99
372178030237,99
372178030493,100
372178030749,100
372178031005,99
372178031261,99
372178031517,98
372178031773,96
372178032029,95
372178032285,93
372178032541,92
372178032797,90
372178033053,89
372178033309,88
372178033565,86
372178033821,85
372178034077,85
372178034333,83
372178034589,83
372178034845,82
372178035101,82
372178035357,82
372178035613,81
372178035869,81
372178036125,80
372178036381,81
372178036637,80
372178036893,80
372178037149,81
372178037405,81
372178037661,81
