HEXOSKINTIME,VALUE
372178114205,107
372178114461,108
372178114717,106
372178114973,106
372178115229,108
372178115485,111
372178115741,111
372178115997,108
372178116253,106
372178116509,105
372178116765,107
372178117021,110
372178117277,112
372178117533,112
372178117789,112
372178118045,0
372178118301,0
372178118557,111
372178118813,111
372178119069,111
372178119325,111
372178119581,110
372178119837,111
372178120093,111
372178120349,111
372178120605,110
372178120861,109
372178121117,108
372178121373,106
372178121629,107
372178121885,110
372178122141,112
372178122397,113
372178122653,112
372178122909,111
372178123165,111
372178123421,110
372178123677,109
372178123933,109
372178124189,110
372178124445,113
372178124701,115
372178124957,116
372178125213,116
372178125469,111
372178125725,107
372178125981,106
372178126237,106
372178126493,107
372178126749,106
372178127005,106
372178127261,108
372178127517,0
372178127773,0
372178128029,110
372178128285,110
372178128541,110
372178128797,109
372178129053,109
372178129309,113
372178129565,119
372178129821,117
372178130077,109
372178130333,106
372178130589,106
372178130845,107
372178131101,106
372178131357,107
372178131613,109
372178131869,111
372178132125,115
372178132381,116
372178132637,114
372178132893,111
372178133149,108
372178133405,106
372178133661,0
372178133917,0
372178134173,108
372178134429,111
372178134685,113
372178134941,113
372178135197,109
372178135453,106
372178135709,107
372178135965,108
372178136221,108
372178136477,108
372178136733,109
372178136989,109
372178137245,107
372178137501,104
372178137757,98
372178138013,90
372178138269,94
372178138525,105
372178138781,0
372178139037,0
372178139293,0
372178139549,111
372178139805,111
372178140061,109
372178140317,108
372178140573,108
372178140829,108
372178141085,109
372178141341,111
372178141597,0
372178141853,110
372178142109,109
372178142365,106
372178142621,105
372178142877,106
372178143133,107
372178143389,108
372178143645,106
372178143901,104
372178144157,103
372178144413,103
372178144669,107
372178144925,112
372178145181,113
372178145437,112
372178145693,111
372178145949,108
372178146205,105
372178146461,105
372178146717,106
372178146973,105
372178147229,105
372178147485,108
372178147741,107
372178147997,104
372178148253,124
372178148509,158
372178148765,152
372178149021,122
372178149277,109
372178149533,109
372178149789,111
372178150045,112
372178150301,112
372178150557,109
372178150813,105
372178151069,104
372178151325,106
372178151581,107
372178151837,108
372178152093,109
372178152349,111
372178152605,111
372178152861,110
372178153117,111
372178153373,110
372178153629,109
372178153885,106
372178154141,105
372178154397,106
372178154653,106
372178154909,107
372178155165,108
372178155421,110
372178155677,111
372178155933,112
372178156189,113
372178156445,114
372178156701,114
372178156957,112
372178157213,110
372178157469,109
372178157725,110
372178157981,113
372178158237,115
372178158493,115
372178158749,114
372178159005,113
372178159261,113
372178159517,114
372178159773,0
372178160029,114
372178160285,113
372178160541,112
372178160797,112
372178161053,114
372178161309,118
372178161565,137
372178161821,162
372178162077,145
372178162333,104
372178162589,91
372178162845,98
372178163101,101
372178163357,101
372178163613,102
372178163869,101
372178164125,105
372178164381,110
372178164637,110
372178164893,108
372178165149,108
372178165405,107
372178165661,105
372178165917,97
372178166173,89
372178166429,99
372178166685,0
372178166941,0
372178167197,115
372178167453,120
372178167709,118
372178167965,119
372178168221,123
372178168477,126
372178168733,129
372178168989,127
372178169245,122
372178169501,118
372178169757,117
372178170013,117
372178170269,116
372178170525,115
372178170781,107
372178171037,89
372178171293,74
372178171549,0
372178171805,75
372178172061,110
372178172317,158
372178172573,161
372178172829,133
372178173085,118
372178173341,118
372178173597,121
372178173853,0
372178174109,124
372178174365,126
372178174621,124
372178174877,120
372178175133,122
372178175389,125
372178175645,127
372178175901,127
372178176157,0
372178176413,0
372178176669,0
372178176925,0
372178177181,0
372178177437,0
372178177693,0
372178177949,0
372178178205,0
372178178461,0
372178178717,139
372178178973,160
372178179229,154
372178179485,132
372178179741,124
372178179997,125
372178180253,127
372178180509,129
372178180765,129
372178181021,127
372178181277,0
372178181533,0
372178181789,0
372178182045,0
372178182301,123
372178182557,139
372178182813,0
372178183069,0
372178183325,0
372178183581,0
372178183837,0
372178184093,0
372178184349,0
372178184605,0
372178184861,0
372178185117,0
372178185373,0
372178185629,0
372178185885,0
372178186141,168
372178186397,167
372178186653,147
372178186909,0
372178187165,0
372178187421,0
372178187677,139
372178187933,137
372178188189,0
372178188445,135
372178188701,134
372178188957,134
372178189213,0
372178189469,0
372178189725,125
372178189981,109
372178190237,104
372178190493,99
372178190749,98
372178191005,114
372178191261,130
372178191517,134
372178191773,132
372178192029,129
372178192285,127
372178192541,0
372178192797,0
372178193053,0
372178193309,0
372178193565,0
372178193821,0
372178194077,0
372178194333,0
372178194589,0
372178194845,0
372178195101,0
372178195357,128
372178195613,131
372178195869,0
372178196125,0
372178196381,0
372178196637,149
372178196893,176
372178197149,173
372178197405,148
372178197661,134
372178197917,0
372178198173,0
372178198429,0
372178198685,0
372178198941,0
372178199197,0
372178199453,0
372178199709,0
372178199965,122
372178200221,109
372178200477,105
372178200733,0
372178200989,0
372178201245,102
372178201501,104
372178201757,113
372178202013,0
372178202269,121
372178202525,125
372178202781,128
372178203037,129
372178203293,129
372178203549,131
372178203805,133
372178204061,132
372178204317,131
372178204573,0
372178204829,0
372178205085,131
372178205341,129
372178205597,125
372178205853,123
372178206109,120
372178206365,119
372178206621,117
372178206877,114
372178207133,117
372178207389,122
372178207645,122
372178207901,121
372178208157,123
372178208413,125
372178208669,124
372178208925,122
